feature_index,feature_name,modality,fold_00_coverage_count,fold_01_coverage_count,fold_02_coverage_count,fold_03_coverage_count,fold_04_coverage_count,fold_05_coverage_count,fold_06_coverage_count,fold_07_coverage_count,fold_08_coverage_count,fold_09_coverage_count,minimum_coverage_count_across_folds,maximum_coverage_count_across_folds,total_coverage_count_across_folds
30,ST26SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
31,ST48CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,5,5,5,5,5,5,5,5,5,5,5,5,50
32,ST59SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
33,ST118SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,5,5,5,5,5,5,5,5,5,5,5,5,50
34,ST48SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
35,ST93CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,5,5,5,5,5,5,5,5,5,5,5,5,50
36,ST13TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
37,ST93TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,5,5,5,5,5,5,5,5,5,5,5,5,50
38,ST110CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,5,5,5,5,5,5,5,5,5,5,5,5,50
39,ST62SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
40,ST34SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,5,5,5,5,5,5,5,5,5,5,5,5,50
41,ST104SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
42,ST62TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,6,6,6,6,6,6,6,6,6,6,6,6,60
43,ST108SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
44,ST85SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,5,5,5,5,5,5,5,5,5,5,5,5,50
45,ST32SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,5,5,5,5,5,5,5,5,5,5,5,5,50
46,ST39CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,5,5,5,5,5,5,5,5,5,5,5,5,50
47,ST54SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
48,ST58TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,5,5,5,5,5,5,5,5,5,5,5,5,50
49,ST43TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
50,ST54TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
51,ST104CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,5,5,5,5,5,5,5,5,5,5,5,5,50
52,ST97TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
53,ST73SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
54,ST108CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
55,ST103TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,5,5,5,5,5,5,5,5,5,5,5,5,50
56,ST44TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
57,ST99CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,5,5,5,5,5,5,5,5,5,5,5,5,50
58,ST108TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
59,ST37SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
60,ST88SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
61,ST50CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
62,ST57SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,5,5,5,5,5,5,5,5,5,5,5,5,50
63,ST61SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
64,ST84TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,5,5,5,5,5,5,5,5,5,5,5,5,50
65,ST72CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,5,5,5,5,5,5,5,5,5,5,5,5,50
66,ST10CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
67,ST56CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
68,ST38CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,5,5,5,5,5,5,5,5,5,5,5,5,50
69,ST107TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
70,ST84CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,5,5,5,5,5,5,5,5,5,5,5,5,50
71,ST84SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
72,ST47SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
73,ST29SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
74,ST82SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
75,ST23SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
76,ST54CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
77,ST74CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,5,5,5,5,5,5,5,5,5,5,5,5,50
78,ST82TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
79,ST98SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,6,6,6,6,6,6,6,6,6,6,6,6,60
80,ST52TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,5,5,5,5,5,5,5,5,5,5,5,5,50
81,ST99TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
82,ST34TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
83,ST85CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,5,5,5,5,5,5,5,5,5,5,5,5,50
84,ST116CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
85,ST110SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,5,5,5,5,5,5,5,5,5,5,5,5,50
86,ST48TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,5,5,5,5,5,5,5,5,5,5,5,5,50
87,ST115SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,5,5,5,5,5,5,5,5,5,5,5,5,50
88,ST93SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
89,ST57TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
90,ST55CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
91,ST113SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
92,ST34CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
93,ST57CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,5,5,5,5,5,5,5,5,5,5,5,5,50
94,ST23CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,5,5,5,5,5,5,5,5,5,5,5,5,50
95,ST121TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
96,ST40SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
97,ST118TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,6,6,6,6,6,6,6,6,6,6,6,6,60
98,ST38SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,5,5,5,5,5,5,5,5,5,5,5,5,50
99,ST58SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
100,ST115TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
101,ST32TS_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
102,ST107CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
103,ST15CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,5,5,5,5,5,5,5,5,5,5,5,5,50
104,ST50TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
105,ST94TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
106,ST46CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
107,ST55SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
108,ST119CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,5,5,5,5,5,5,5,5,5,5,5,5,50
109,ST40CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
110,ST95SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,5,5,5,5,5,5,5,5,5,5,5,5,50
111,ST31SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
112,ST52SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
113,ST46TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
114,ST30SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
115,ST46SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,5,5,5,5,5,5,5,5,5,5,5,5,50
116,ST94CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
117,ST49TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,5,5,5,5,5,5,5,5,5,5,5,5,50
118,ST32CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
119,ST102SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,5,5,5,5,5,5,5,5,5,5,5,5,50
120,ST118CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
121,ST117CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,5,5,5,5,5,5,5,5,5,5,5,5,50
122,ST111SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
123,ST55TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,5,5,5,5,5,5,5,5,5,5,5,5,50
124,ST113CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,5,5,5,5,5,5,5,5,5,5,5,5,50
125,ST60TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,5,5,5,5,5,5,5,5,5,5,5,5,50
126,ST35CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,5,5,5,5,5,5,5,5,5,5,5,5,50
127,ST102TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
128,ST121SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
129,ST47CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
130,ST111TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,5,5,5,5,5,5,5,5,5,5,5,5,50
131,ST56SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
132,ST103CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,5,5,5,5,5,5,5,5,5,5,5,5,50
133,ST59TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
134,ST104TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
135,ST14CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,5,5,5,5,5,5,5,5,5,5,5,5,50
136,ST128SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,5,5,5,5,5,5,5,5,5,5,5,5,50
137,ST26CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,4,4,4,4,4,4,4,4,4,4,4,4,40
138,CTX_RH_LATERALORBITOFRONTAL_SIZE_UCBERKELEYAV45_10_17_16,PET,5,5,5,5,5,5,5,5,5,5,5,5,50
139,RIGHT_CEREBELLUM_WHITE_MATTER_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
140,RIGHT_CEREBRAL_WHITE_MATTER_SIZE_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
141,CTX_LH_FUSIFORM_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
142,CTX_RH_BANKSSTS_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
143,CTX_RH_SUPERIORTEMPORAL_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
144,CTX_LH_BANKSSTS_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
145,CTX_LH_UNKNOWN_SIZE_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
146,CTX_RH_PARSOPERCULARIS_UCBERKELEYAV45_10_17_16,PET,5,5,5,5,5,5,5,5,5,5,5,5,50
147,CTX_LH_ROSTRALMIDDLEFRONTAL_UCBERKELEYAV45_10_17_16,PET,5,5,5,5,5,5,5,5,5,5,5,5,50
148,CTX_RH_PARSORBITALIS_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
149,CC_CENTRAL_SIZE_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
150,SUMMARYSUVR_WHOLECEREBNORM_UCBERKELEYAV45_10_17_16,PET,5,5,5,5,5,5,5,5,5,5,5,5,50
151,CTX_RH_INFERIORTEMPORAL_SIZE_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
152,RIGHT_HIPPOCAMPUS_UCBERKELEYAV45_10_17_16,PET,5,5,5,5,5,5,5,5,5,5,5,5,50
153,CC_ANTERIOR_SIZE_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
154,CSF_UCBERKELEYAV45_10_17_16,PET,5,5,5,5,5,5,5,5,5,5,5,5,50
155,CTX_LH_LINGUAL_UCBERKELEYAV45_10_17_16,PET,6,6,6,6,6,6,6,6,6,6,6,6,60
156,CTX_LH_MEDIALORBITOFRONTAL_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
157,RIGHT_CEREBELLUM_WHITE_MATTER_SIZE_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
158,CTX_RH_ENTORHINAL_UCBERKELEYAV45_10_17_16,PET,5,5,5,5,5,5,5,5,5,5,5,5,50
159,LEFT_CHOROID_PLEXUS_SIZE_UCBERKELEYAV45_10_17_16,PET,6,6,6,6,6,6,6,6,6,6,6,6,60
160,LEFT_AMYGDALA_UCBERKELEYAV45_10_17_16,PET,6,6,6,6,6,6,6,6,6,6,6,6,60
161,CTX_RH_SUPERIORFRONTAL_SIZE_UCBERKELEYAV45_10_17_16,PET,5,5,5,5,5,5,5,5,5,5,5,5,50
162,CTX_LH_INFERIORPARIETAL_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
163,RIGHT_AMYGDALA_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
164,LEFT_LATERAL_VENTRICLE_SIZE_UCBERKELEYAV45_10_17_16,PET,5,5,5,5,5,5,5,5,5,5,5,5,50
165,CTX_LH_ROSTRALMIDDLEFRONTAL_SIZE_UCBERKELEYAV45_10_17_16,PET,5,5,5,5,5,5,5,5,5,5,5,5,50
166,CTX_LH_PRECUNEUS_UCBERKELEYAV45_10_17_16,PET,5,5,5,5,5,5,5,5,5,5,5,5,50
167,CTX_RH_POSTERIORCINGULATE_UCBERKELEYAV45_10_17_16,PET,5,5,5,5,5,5,5,5,5,5,5,5,50
168,LEFT_HIPPOCAMPUS_SIZE_UCBERKELEYAV45_10_17_16,PET,5,5,5,5,5,5,5,5,5,5,5,5,50
169,CTX_LH_PARSOPERCULARIS_UCBERKELEYAV45_10_17_16,PET,5,5,5,5,5,5,5,5,5,5,5,5,50
170,CC_MID_ANTERIOR_SIZE_UCBERKELEYAV45_10_17_16,PET,5,5,5,5,5,5,5,5,5,5,5,5,50
171,CTX_RH_CAUDALANTERIORCINGULATE_UCBERKELEYAV45_10_17_16,PET,5,5,5,5,5,5,5,5,5,5,5,5,50
172,CTX_RH_PARAHIPPOCAMPAL_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
173,CTX_RH_CAUDALMIDDLEFRONTAL_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
174,RIGHT_CEREBRAL_WHITE_MATTER_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
175,CTX_RH_ISTHMUSCINGULATE_UCBERKELEYAV45_10_17_16,PET,5,5,5,5,5,5,5,5,5,5,5,5,50
176,CTX_LH_LATERALOCCIPITAL_UCBERKELEYAV45_10_17_16,PET,5,5,5,5,5,5,5,5,5,5,5,5,50
177,CTX_LH_CAUDALANTERIORCINGULATE_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
178,RIGHT_INF_LAT_VENT_SIZE_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
179,CTX_RH_CAUDALMIDDLEFRONTAL_SIZE_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
180,RIGHT_PALLIDUM_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
181,RIGHT_VESSEL_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
182,CTX_RH_PARSTRIANGULARIS_SIZE_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
183,CTX_RH_INFERIORPARIETAL_UCBERKELEYAV45_10_17_16,PET,5,5,5,5,5,5,5,5,5,5,5,5,50
184,CTX_RH_MEDIALORBITOFRONTAL_SIZE_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
185,NON_WM_HYPOINTENSITIES_SIZE_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
186,RIGHT_CEREBELLUM_CORTEX_SIZE_UCBERKELEYAV45_10_17_16,PET,5,5,5,5,5,5,5,5,5,5,5,5,50
187,LEFT_ACCUMBENS_AREA_UCBERKELEYAV45_10_17_16,PET,5,5,5,5,5,5,5,5,5,5,5,5,50
188,CTX_RH_PARACENTRAL_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
189,CTX_LH_POSTERIORCINGULATE_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
190,LEFT_INF_LAT_VENT_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
191,CTX_LH_FRONTALPOLE_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
192,CC_ANTERIOR_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
193,CC_MID_ANTERIOR_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
194,CTX_LH_ISTHMUSCINGULATE_UCBERKELEYAV45_10_17_16,PET,5,5,5,5,5,5,5,5,5,5,5,5,50
195,CTX_RH_POSTCENTRAL_UCBERKELEYAV45_10_17_16,PET,5,5,5,5,5,5,5,5,5,5,5,5,50
196,CTX_LH_SUPERIORFRONTAL_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
197,ERODED_SUBCORTICALWM_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
198,WHOLECEREBELLUM_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
199,CTX_LH_PERICALCARINE_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
200,LEFT_PUTAMEN_SIZE_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
201,NON_WM_HYPOINTENSITIES_UCBERKELEYAV45_10_17_16,PET,4,4,4,4,4,4,4,4,4,4,4,4,40
