feature_index,feature_name,modality,member_00,member_01,coverage_count
35,ST93CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,2
36,ST13TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1
37,ST93TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1
38,ST110CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1
39,ST62SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1
40,ST34SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1
41,ST104SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1
42,ST62TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,2
43,ST108SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1
44,ST85SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,2
45,ST32SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1
46,ST39CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1
47,ST54SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1
48,ST58TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1
49,ST43TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1
50,ST54TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1
51,ST104CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1
52,ST97TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1
53,ST73SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1
54,ST108CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1
55,ST103TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1
56,ST44TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1
57,ST99CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,2
58,ST108TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1
59,ST37SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1
60,ST88SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1
61,ST50CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1
62,ST57SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1
63,ST61SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1
64,ST84TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1
65,ST72CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,2
66,ST10CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1
67,ST56CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1
68,ST38CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,2
69,ST107TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1
70,ST84CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1
71,ST84SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1
72,ST47SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1
73,ST29SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1
74,ST82SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1
75,ST23SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1
76,ST54CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1
77,ST74CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,2
78,ST82TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1
79,ST98SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1
80,ST52TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1
81,ST99TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1
82,ST34TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1
83,ST85CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1
84,ST116CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1
85,ST110SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,2
86,ST48TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,2
87,ST115SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1
88,ST93SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1
89,ST57TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1
90,ST55CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1
91,ST113SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1
92,ST34CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1
93,ST57CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1
94,ST23CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1
95,ST121TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1
96,ST40SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1
97,ST118TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,2
98,ST38SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,2
99,ST58SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1
100,ST115TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1
101,ST32TS_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1
102,ST107CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1
103,ST15CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1
104,ST50TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1
105,ST94TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1
106,ST46CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1
107,ST55SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1
108,ST119CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,2
109,ST40CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1
110,ST95SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1
111,ST31SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1
112,ST52SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1
113,ST46TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1
114,ST30SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1
115,ST46SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1
116,ST94CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1
117,ST49TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1
118,ST32CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1
119,ST102SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1
120,ST118CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1
121,ST117CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1
122,ST111SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1
123,ST55TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1
124,ST113CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,2
125,ST60TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,2
126,ST35CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1
127,ST102TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1
128,ST121SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1
129,ST47CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1
130,ST111TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1
131,ST56SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1
132,ST103CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,2
133,ST59TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1
134,ST104TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1
135,ST14CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1
136,ST128SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1
137,ST26CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1
138,CTX_RH_LATERALORBITOFRONTAL_SIZE_UCBERKELEYAV45_10_17_16,PET,1,0,1
139,RIGHT_CEREBELLUM_WHITE_MATTER_UCBERKELEYAV45_10_17_16,PET,1,0,1
140,RIGHT_CEREBRAL_WHITE_MATTER_SIZE_UCBERKELEYAV45_10_17_16,PET,0,1,1
141,CTX_LH_FUSIFORM_UCBERKELEYAV45_10_17_16,PET,0,1,1
142,CTX_RH_BANKSSTS_UCBERKELEYAV45_10_17_16,PET,0,1,1
143,CTX_RH_SUPERIORTEMPORAL_UCBERKELEYAV45_10_17_16,PET,0,1,1
144,CTX_LH_BANKSSTS_UCBERKELEYAV45_10_17_16,PET,0,1,1
145,CTX_LH_UNKNOWN_SIZE_UCBERKELEYAV45_10_17_16,PET,1,0,1
146,CTX_RH_PARSOPERCULARIS_UCBERKELEYAV45_10_17_16,PET,1,1,2
147,CTX_LH_ROSTRALMIDDLEFRONTAL_UCBERKELEYAV45_10_17_16,PET,0,1,1
148,CTX_RH_PARSORBITALIS_UCBERKELEYAV45_10_17_16,PET,0,1,1
149,CC_CENTRAL_SIZE_UCBERKELEYAV45_10_17_16,PET,0,1,1
150,SUMMARYSUVR_WHOLECEREBNORM_UCBERKELEYAV45_10_17_16,PET,0,1,1
151,CTX_RH_INFERIORTEMPORAL_SIZE_UCBERKELEYAV45_10_17_16,PET,1,0,1
152,RIGHT_HIPPOCAMPUS_UCBERKELEYAV45_10_17_16,PET,1,1,2
153,CC_ANTERIOR_SIZE_UCBERKELEYAV45_10_17_16,PET,0,1,1
154,CSF_UCBERKELEYAV45_10_17_16,PET,1,1,2
155,CTX_LH_LINGUAL_UCBERKELEYAV45_10_17_16,PET,0,1,1
156,CTX_LH_MEDIALORBITOFRONTAL_UCBERKELEYAV45_10_17_16,PET,0,1,1
157,RIGHT_CEREBELLUM_WHITE_MATTER_SIZE_UCBERKELEYAV45_10_17_16,PET,0,1,1
158,CTX_RH_ENTORHINAL_UCBERKELEYAV45_10_17_16,PET,1,0,1
159,LEFT_CHOROID_PLEXUS_SIZE_UCBERKELEYAV45_10_17_16,PET,1,1,2
160,LEFT_AMYGDALA_UCBERKELEYAV45_10_17_16,PET,0,1,1
161,CTX_RH_SUPERIORFRONTAL_SIZE_UCBERKELEYAV45_10_17_16,PET,1,0,1
162,CTX_LH_INFERIORPARIETAL_UCBERKELEYAV45_10_17_16,PET,1,0,1
163,RIGHT_AMYGDALA_UCBERKELEYAV45_10_17_16,PET,0,1,1
164,LEFT_LATERAL_VENTRICLE_SIZE_UCBERKELEYAV45_10_17_16,PET,1,0,1
165,CTX_LH_ROSTRALMIDDLEFRONTAL_SIZE_UCBERKELEYAV45_10_17_16,PET,1,0,1
166,CTX_LH_PRECUNEUS_UCBERKELEYAV45_10_17_16,PET,1,0,1
167,CTX_RH_POSTERIORCINGULATE_UCBERKELEYAV45_10_17_16,PET,0,1,1
168,LEFT_HIPPOCAMPUS_SIZE_UCBERKELEYAV45_10_17_16,PET,1,0,1
169,CTX_LH_PARSOPERCULARIS_UCBERKELEYAV45_10_17_16,PET,1,0,1
170,CC_MID_ANTERIOR_SIZE_UCBERKELEYAV45_10_17_16,PET,0,1,1
171,CTX_RH_CAUDALANTERIORCINGULATE_UCBERKELEYAV45_10_17_16,PET,1,0,1
172,CTX_RH_PARAHIPPOCAMPAL_UCBERKELEYAV45_10_17_16,PET,0,1,1
173,CTX_RH_CAUDALMIDDLEFRONTAL_UCBERKELEYAV45_10_17_16,PET,1,0,1
174,RIGHT_CEREBRAL_WHITE_MATTER_UCBERKELEYAV45_10_17_16,PET,0,1,1
175,CTX_RH_ISTHMUSCINGULATE_UCBERKELEYAV45_10_17_16,PET,1,0,1
176,CTX_LH_LATERALOCCIPITAL_UCBERKELEYAV45_10_17_16,PET,1,0,1
177,CTX_LH_CAUDALANTERIORCINGULATE_UCBERKELEYAV45_10_17_16,PET,1,0,1
178,RIGHT_INF_LAT_VENT_SIZE_UCBERKELEYAV45_10_17_16,PET,1,0,1
179,CTX_RH_CAUDALMIDDLEFRONTAL_SIZE_UCBERKELEYAV45_10_17_16,PET,0,1,1
180,RIGHT_PALLIDUM_UCBERKELEYAV45_10_17_16,PET,0,1,1
181,RIGHT_VESSEL_UCBERKELEYAV45_10_17_16,PET,1,0,1
182,CTX_RH_PARSTRIANGULARIS_SIZE_UCBERKELEYAV45_10_17_16,PET,0,1,1
183,CTX_RH_INFERIORPARIETAL_UCBERKELEYAV45_10_17_16,PET,1,0,1
184,CTX_RH_MEDIALORBITOFRONTAL_SIZE_UCBERKELEYAV45_10_17_16,PET,0,1,1
185,NON_WM_HYPOINTENSITIES_SIZE_UCBERKELEYAV45_10_17_16,PET,0,1,1
186,RIGHT_CEREBELLUM_CORTEX_SIZE_UCBERKELEYAV45_10_17_16,PET,1,0,1
187,LEFT_ACCUMBENS_AREA_UCBERKELEYAV45_10_17_16,PET,1,0,1
188,CTX_RH_PARACENTRAL_UCBERKELEYAV45_10_17_16,PET,1,0,1
189,CTX_LH_POSTERIORCINGULATE_UCBERKELEYAV45_10_17_16,PET,1,0,1
190,LEFT_INF_LAT_VENT_UCBERKELEYAV45_10_17_16,PET,1,0,1
191,CTX_LH_FRONTALPOLE_UCBERKELEYAV45_10_17_16,PET,0,1,1
192,CC_ANTERIOR_UCBERKELEYAV45_10_17_16,PET,0,1,1
193,CC_MID_ANTERIOR_UCBERKELEYAV45_10_17_16,PET,1,0,1
194,CTX_LH_ISTHMUSCINGULATE_UCBERKELEYAV45_10_17_16,PET,1,0,1
195,CTX_RH_POSTCENTRAL_UCBERKELEYAV45_10_17_16,PET,1,0,1
196,CTX_LH_SUPERIORFRONTAL_UCBERKELEYAV45_10_17_16,PET,0,1,1
197,ERODED_SUBCORTICALWM_UCBERKELEYAV45_10_17_16,PET,0,1,1
198,WHOLECEREBELLUM_UCBERKELEYAV45_10_17_16,PET,1,0,1
199,CTX_LH_PERICALCARINE_UCBERKELEYAV45_10_17_16,PET,1,0,1
200,LEFT_PUTAMEN_SIZE_UCBERKELEYAV45_10_17_16,PET,0,1,1
201,NON_WM_HYPOINTENSITIES_UCBERKELEYAV45_10_17_16,PET,1,0,1
202,LEFT_ACCUMBENS_AREA_SIZE_UCBERKELEYAV45_10_17_16,PET,0,1,1
203,CINGULATE_UCBERKELEYAV45_10_17_16,PET,0,1,1
204,CTX_RH_SUPERIORPARIETAL_UCBERKELEYAV45_10_17_16,PET,1,0,1
205,CTX_LH_CUNEUS_UCBERKELEYAV45_10_17_16,PET,1,0,1
206,CTX_RH_PERICALCARINE_UCBERKELEYAV45_10_17_16,PET,0,1,1
207,CTX_RH_PARSTRIANGULARIS_UCBERKELEYAV45_10_17_16,PET,0,1,1
208,LEFT_PUTAMEN_UCBERKELEYAV45_10_17_16,PET,1,0,1
209,LEFT_CEREBELLUM_WHITE_MATTER_UCBERKELEYAV45_10_17_16,PET,0,1,1
210,CTX_LH_SUPERIORFRONTAL_SIZE_UCBERKELEYAV45_10_17_16,PET,1,0,1
211,CTX_LH_PARAHIPPOCAMPAL_SIZE_UCBERKELEYAV45_10_17_16,PET,0,1,1
212,CTX_RH_SUPRAMARGINAL_UCBERKELEYAV45_10_17_16,PET,0,1,1
213,LEFT_PALLIDUM_SIZE_UCBERKELEYAV45_10_17_16,PET,1,0,1
214,CTX_LH_CAUDALMIDDLEFRONTAL_SIZE_UCBERKELEYAV45_10_17_16,PET,0,1,1
215,CTX_LH_LATERALORBITOFRONTAL_UCBERKELEYAV45_10_17_16,PET,0,1,1
216,LEFT_CEREBRAL_WHITE_MATTER_SIZE_UCBERKELEYAV45_10_17_16,PET,1,0,1
217,CTX_LH_ENTORHINAL_SIZE_UCBERKELEYAV45_10_17_16,PET,1,0,1
218,CTX_RH_LINGUAL_UCBERKELEYAV45_10_17_16,PET,1,0,1
219,CTX_RH_TRANSVERSETEMPORAL_UCBERKELEYAV45_10_17_16,PET,0,1,1
220,LEFT_HIPPOCAMPUS_UCBERKELEYAV45_10_17_16,PET,0,1,1
221,SUMMARYSUVR_COMPOSITE_REFNORM_UCBERKELEYAV45_10_17_16,PET,0,1,1
222,LEFT_CEREBRAL_WHITE_MATTER_UCBERKELEYAV45_10_17_16,PET,0,1,1
223,CTX_LH_PARACENTRAL_UCBERKELEYAV45_10_17_16,PET,1,1,2
224,CTX_RH_LATERALORBITOFRONTAL_UCBERKELEYAV45_10_17_16,PET,0,1,1
225,FRONTAL_UCBERKELEYAV45_10_17_16,PET,0,1,1
226,CTX_RH_INSULA_UCBERKELEYAV45_10_17_16,PET,0,1,1
227,LEFT_VENTRALDC_SIZE_UCBERKELEYAV45_10_17_16,PET,1,0,1
228,CTX_RH_INFERIORTEMPORAL_UCBERKELEYAV45_10_17_16,PET,1,0,1
229,CTX_RH_SUPERIORFRONTAL_UCBERKELEYAV45_10_17_16,PET,1,0,1
230,CTX_LH_LINGUAL_SIZE_UCBERKELEYAV45_10_17_16,PET,1,0,1
231,CC_CENTRAL_UCBERKELEYAV45_10_17_16,PET,0,1,1
232,RIGHT_VENTRALDC_UCBERKELEYAV45_10_17_16,PET,1,0,1
233,LEFT_CEREBELLUM_WHITE_MATTER_SIZE_UCBERKELEYAV45_10_17_16,PET,1,0,1
234,CTX_RH_INSULA_SIZE_UCBERKELEYAV45_10_17_16,PET,1,1,2
235,CTX_RH_ROSTRALMIDDLEFRONTAL_UCBERKELEYAV45_10_17_16,PET,1,0,1
236,CTX_LH_PERICALCARINE_SIZE_UCBERKELEYAV45_10_17_16,PET,0,1,1
237,CTX_LH_POSTCENTRAL_UCBERKELEYAV45_10_17_16,PET,1,0,1
238,VENTRICLE_4TH_UCBERKELEYAV45_10_17_16,PET,1,0,1
239,CTX_RH_PRECUNEUS_UCBERKELEYAV45_10_17_16,PET,0,1,1
240,CTX_RH_POSTCENTRAL_SIZE_UCBERKELEYAV45_10_17_16,PET,0,1,1
241,PARIETAL_UCBERKELEYAV45_10_17_16,PET,0,1,1
242,CSF_SIZE_UCBERKELEYAV45_10_17_16,PET,0,1,1
243,LEFT_PALLIDUM_UCBERKELEYAV45_10_17_16,PET,1,1,2
244,RIGHT_ACCUMBENS_AREA_UCBERKELEYAV45_10_17_16,PET,1,1,2
245,CTX_RH_INFERIORPARIETAL_SIZE_UCBERKELEYAV45_10_17_16,PET,1,0,1
246,CTX_LH_SUPERIORTEMPORAL_UCBERKELEYAV45_10_17_16,PET,1,0,1
247,CTX_LH_SUPERIORPARIETAL_UCBERKELEYAV45_10_17_16,PET,1,0,1
248,CTX_RH_FRONTALPOLE_SIZE_UCBERKELEYAV45_10_17_16,PET,0,1,1
249,TEMPORAL_UCBERKELEYAV45_10_17_16,PET,0,1,1
250,CTX_RH_FUSIFORM_UCBERKELEYAV45_10_17_16,PET,1,0,1
251,CTX_LH_SUPRAMARGINAL_UCBERKELEYAV45_10_17_16,PET,1,0,1
252,CTX_RH_FRONTALPOLE_UCBERKELEYAV45_10_17_16,PET,0,1,1
253,CTX_RH_MEDIALORBITOFRONTAL_UCBERKELEYAV45_10_17_16,PET,1,0,1
254,RIGHT_LATERAL_VENTRICLE_SIZE_UCBERKELEYAV45_10_17_16,PET,1,0,1
255,CTX_LH_ENTORHINAL_UCBERKELEYAV45_10_17_16,PET,1,1,2
256,CTX_RH_ROSTRALMIDDLEFRONTAL_SIZE_UCBERKELEYAV45_10_17_16,PET,0,1,1
257,CTX_LH_INFERIORTEMPORAL_UCBERKELEYAV45_10_17_16,PET,1,0,1
258,CTX_LH_TEMPORALPOLE_UCBERKELEYAV45_10_17_16,PET,0,1,1
259,LEFT_VESSEL_UCBERKELEYAV45_10_17_16,PET,0,1,1
260,CTX_LH_INSULA_UCBERKELEYAV45_10_17_16,PET,0,1,1
261,CTX_LH_ROSTRALANTERIORCINGULATE_UCBERKELEYAV45_10_17_16,PET,1,0,1
262,LEFT_AMYGDALA_SIZE_UCBERKELEYAV45_10_17_16,PET,1,0,1
263,CTX_RH_SUPERIORTEMPORAL_SIZE_UCBERKELEYAV45_10_17_16,PET,1,0,1
264,RIGHT_HIPPOCAMPUS_SIZE_UCBERKELEYAV45_10_17_16,PET,1,0,1
265,CTX_LH_PARSTRIANGULARIS_UCBERKELEYAV45_10_17_16,PET,1,0,1
266,CTX_LH_POSTCENTRAL_SIZE_UCBERKELEYAV45_10_17_16,PET,1,1,2
267,LEFT_CHOROID_PLEXUS_UCBERKELEYAV45_10_17_16,PET,1,0,1
268,CTX_RH_TEMPORALPOLE_UCBERKELEYAV45_10_17_16,PET,1,0,1
269,CTX_RH_LINGUAL_SIZE_UCBERKELEYAV45_10_17_16,PET,1,0,1
270,WM_HYPOINTENSITIES_UCBERKELEYAV45_10_17_16,PET,0,1,1
271,CTX_LH_PRECENTRAL_UCBERKELEYAV45_10_17_16,PET,1,1,2
272,CTX_RH_PRECENTRAL_UCBERKELEYAV45_10_17_16,PET,0,1,1
273,CTX_RH_MIDDLETEMPORAL_UCBERKELEYAV45_10_17_16,PET,1,1,2
274,LEFT_CEREBELLUM_CORTEX_SIZE_UCBERKELEYAV45_10_17_16,PET,0,1,1
275,CTX_LH_CAUDALMIDDLEFRONTAL_UCBERKELEYAV45_10_17_16,PET,0,1,1
276,CTX_RH_LATERALOCCIPITAL_SIZE_UCBERKELEYAV45_10_17_16,PET,1,1,2
277,CTX_RH_LATERALOCCIPITAL_UCBERKELEYAV45_10_17_16,PET,0,1,1
278,CC_MID_POSTERIOR_UCBERKELEYAV45_10_17_16,PET,1,0,1
279,RIGHT_CHOROID_PLEXUS_UCBERKELEYAV45_10_17_16,PET,1,0,1
280,CC_POSTERIOR_SIZE_UCBERKELEYAV45_10_17_16,PET,0,1,1
281,CTX_LH_MIDDLETEMPORAL_UCBERKELEYAV45_10_17_16,PET,1,0,1
282,LEFT_THALAMUS_PROPER_UCBERKELEYAV45_10_17_16,PET,0,1,1
283,OPTIC_CHIASM_UCBERKELEYAV45_10_17_16,PET,1,0,1
284,RIGHT_CHOROID_PLEXUS_SIZE_UCBERKELEYAV45_10_17_16,PET,0,1,1
285,CTX_LH_PARSOPERCULARIS_SIZE_UCBERKELEYAV45_10_17_16,PET,1,0,1
286,LEFT_VENTRALDC_UCBERKELEYAV45_10_17_16,PET,0,1,1
287,RIGHT_LATERAL_VENTRICLE_UCBERKELEYAV45_10_17_16,PET,1,0,1
288,TAU_UPENNBIOMK9_04_19_17,CSF,1,0,1
289,ABETA_UPENNBIOMK9_04_19_17,CSF,0,1,1
290,PTAU_UPENNBIOMK9_04_19_17,CSF,0,1,1
291,"AGE_[56.4, 58.4)",Risk,1,0,1
292,"AGE_[80.4, 82.4)",Risk,0,1,1
293,"AGE_[72.4, 74.4)",Risk,0,1,1
294,"AGE_[62.4, 64.4)",Risk,0,1,1
