fold,subject_index,truth,c1_prediction,pc_bbf_v1_prediction,conservative_prediction,status_vs_c1,status_vs_pc_bbf_v1
7,77,1,1,1,1,unchanged,unchanged
4,78,1,1,1,1,unchanged,unchanged
4,79,1,1,1,1,unchanged,unchanged
8,80,1,1,1,1,unchanged,unchanged
9,81,1,1,1,1,unchanged,unchanged
9,82,1,1,1,1,unchanged,unchanged
5,83,1,1,1,1,unchanged,unchanged
9,84,1,1,1,1,unchanged,unchanged
2,85,1,1,1,2,damage,damage
7,86,1,1,1,1,unchanged,unchanged
5,87,1,1,1,1,unchanged,unchanged
2,88,1,1,1,1,unchanged,unchanged
3,89,1,2,1,1,repair,unchanged
3,90,1,1,1,1,unchanged,unchanged
8,91,1,1,1,1,unchanged,unchanged
3,92,1,1,1,1,unchanged,unchanged
4,93,1,1,1,1,unchanged,unchanged
1,94,1,1,1,1,unchanged,unchanged
7,95,1,1,1,1,unchanged,unchanged
4,96,1,1,1,1,unchanged,unchanged
6,97,1,1,1,1,unchanged,unchanged
4,98,1,1,1,1,unchanged,unchanged
4,99,1,1,1,1,unchanged,unchanged
4,100,1,1,1,1,unchanged,unchanged
5,101,1,1,1,1,unchanged,unchanged
7,102,1,1,1,1,unchanged,unchanged
0,103,1,1,1,1,unchanged,unchanged
4,104,1,1,1,1,unchanged,unchanged
7,105,1,1,1,1,unchanged,unchanged
8,106,1,1,1,1,unchanged,unchanged
1,107,1,1,1,1,unchanged,unchanged
9,108,1,1,1,1,unchanged,unchanged
8,109,1,1,1,1,unchanged,unchanged
2,110,1,1,1,1,unchanged,unchanged
7,111,1,2,2,1,repair,repair
6,112,1,1,1,1,unchanged,unchanged
1,113,1,1,1,1,unchanged,unchanged
0,114,1,1,1,1,unchanged,unchanged
9,115,1,1,1,1,unchanged,unchanged
9,116,1,1,1,1,unchanged,unchanged
9,117,1,1,1,1,unchanged,unchanged
2,118,1,1,1,1,unchanged,unchanged
1,119,1,1,1,1,unchanged,unchanged
9,120,1,1,2,1,unchanged,repair
1,121,1,1,1,1,unchanged,unchanged
5,122,1,1,1,1,unchanged,unchanged
1,123,1,1,1,1,unchanged,unchanged
8,124,1,1,1,1,unchanged,unchanged
5,125,1,1,1,1,unchanged,unchanged
2,126,1,1,1,1,unchanged,unchanged
0,127,1,1,1,1,unchanged,unchanged
6,128,1,1,1,1,unchanged,unchanged
8,129,1,1,1,1,unchanged,unchanged
3,130,1,1,1,1,unchanged,unchanged
7,131,1,1,1,1,unchanged,unchanged
5,132,1,1,1,1,unchanged,unchanged
3,133,1,1,1,1,unchanged,unchanged
6,134,1,1,1,1,unchanged,unchanged
2,135,1,1,1,1,unchanged,unchanged
4,136,1,1,1,1,unchanged,unchanged
8,137,1,1,1,1,unchanged,unchanged
1,138,1,1,1,1,unchanged,unchanged
0,139,1,1,1,1,unchanged,unchanged
5,140,1,1,1,1,unchanged,unchanged
6,141,1,1,1,1,unchanged,unchanged
7,142,1,1,1,1,unchanged,unchanged
3,143,1,1,1,1,unchanged,unchanged
7,144,1,1,1,1,unchanged,unchanged
4,145,1,1,1,1,unchanged,unchanged
2,146,1,1,1,1,unchanged,unchanged
1,147,1,1,1,1,unchanged,unchanged
7,148,1,1,1,1,unchanged,unchanged
5,149,1,1,1,1,unchanged,unchanged
5,150,1,1,1,1,unchanged,unchanged
3,151,1,1,1,1,unchanged,unchanged
6,152,1,1,1,1,unchanged,unchanged
5,153,1,1,1,1,unchanged,unchanged
0,154,1,1,1,1,unchanged,unchanged
8,155,1,1,1,2,damage,damage
7,156,1,1,1,1,unchanged,unchanged
7,157,1,1,1,1,unchanged,unchanged
2,158,1,1,1,1,unchanged,unchanged
0,159,1,1,1,1,unchanged,unchanged
2,160,1,1,1,1,unchanged,unchanged
0,161,1,1,1,1,unchanged,unchanged
4,162,1,1,1,1,unchanged,unchanged
5,163,1,1,1,1,unchanged,unchanged
9,164,1,1,1,1,unchanged,unchanged
5,165,1,1,1,1,unchanged,unchanged
4,166,1,1,1,1,unchanged,unchanged
1,167,1,1,1,1,unchanged,unchanged
6,168,1,2,2,2,unchanged,unchanged
9,169,1,1,1,2,damage,damage
1,170,1,1,1,1,unchanged,unchanged
3,171,1,1,1,1,unchanged,unchanged
3,172,1,1,1,1,unchanged,unchanged
5,173,1,1,1,1,unchanged,unchanged
9,174,1,1,1,1,unchanged,unchanged
7,175,1,1,1,1,unchanged,unchanged
4,176,1,1,1,1,unchanged,unchanged
0,177,1,1,1,1,unchanged,unchanged
0,178,1,1,1,1,unchanged,unchanged
2,179,1,1,1,1,unchanged,unchanged
1,180,1,1,1,1,unchanged,unchanged
8,181,1,1,1,1,unchanged,unchanged
6,182,1,1,1,1,unchanged,unchanged
4,183,1,1,2,2,damage,unchanged
1,184,1,1,1,1,unchanged,unchanged
6,185,1,1,2,1,unchanged,repair
1,186,1,1,1,1,unchanged,unchanged
9,187,1,1,1,1,unchanged,unchanged
7,188,1,1,1,2,damage,damage
8,189,1,1,1,1,unchanged,unchanged
0,190,1,1,1,1,unchanged,unchanged
3,191,1,1,1,1,unchanged,unchanged
8,192,1,1,1,1,unchanged,unchanged
6,193,1,1,1,1,unchanged,unchanged
4,194,1,1,1,1,unchanged,unchanged
7,195,1,1,1,1,unchanged,unchanged
5,196,1,1,1,1,unchanged,unchanged
5,197,1,1,2,2,damage,unchanged
0,198,1,1,1,1,unchanged,unchanged
2,199,1,1,1,1,unchanged,unchanged
0,200,1,1,1,1,unchanged,unchanged
8,201,1,1,1,1,unchanged,unchanged
7,202,1,1,1,1,unchanged,unchanged
3,203,1,1,1,1,unchanged,unchanged
0,204,1,1,1,1,unchanged,unchanged
2,205,1,1,1,1,unchanged,unchanged
2,206,1,1,1,1,unchanged,unchanged
0,207,1,2,2,1,repair,repair
0,208,1,1,1,1,unchanged,unchanged
8,209,1,1,1,1,unchanged,unchanged
4,210,1,1,1,1,unchanged,unchanged
6,211,1,1,1,1,unchanged,unchanged
3,212,1,1,1,1,unchanged,unchanged
0,213,1,1,1,1,unchanged,unchanged
9,214,1,1,1,1,unchanged,unchanged
6,215,1,1,1,1,unchanged,unchanged
5,216,1,1,1,1,unchanged,unchanged
0,217,1,1,1,1,unchanged,unchanged
4,218,1,1,1,1,unchanged,unchanged
8,219,1,1,1,1,unchanged,unchanged
2,220,1,1,1,1,unchanged,unchanged
9,221,1,1,1,1,unchanged,unchanged
5,222,1,1,1,1,unchanged,unchanged
7,223,1,1,1,1,unchanged,unchanged
9,224,1,1,1,1,unchanged,unchanged
3,225,1,1,1,1,unchanged,unchanged
1,226,1,1,1,1,unchanged,unchanged
3,227,1,2,2,2,unchanged,unchanged
3,228,1,1,1,1,unchanged,unchanged
4,229,1,1,1,1,unchanged,unchanged
2,230,1,1,1,1,unchanged,unchanged
6,231,1,1,1,1,unchanged,unchanged
1,232,1,1,1,1,unchanged,unchanged
9,233,1,1,1,1,unchanged,unchanged
3,234,1,2,1,1,repair,unchanged
8,235,1,1,1,1,unchanged,unchanged
8,236,1,1,1,1,unchanged,unchanged
1,237,1,1,1,1,unchanged,unchanged
0,238,1,1,1,1,unchanged,unchanged
1,239,1,1,1,1,unchanged,unchanged
6,240,1,1,1,1,unchanged,unchanged
5,241,1,1,1,1,unchanged,unchanged
8,242,1,1,1,1,unchanged,unchanged
9,243,1,1,1,1,unchanged,unchanged
4,244,1,2,2,2,unchanged,unchanged
6,245,1,1,1,1,unchanged,unchanged
7,246,1,1,1,1,unchanged,unchanged
3,247,1,1,1,1,unchanged,unchanged
7,248,1,1,2,1,unchanged,repair
8,249,1,1,1,1,unchanged,unchanged
5,250,1,1,1,1,unchanged,unchanged
2,251,1,1,1,1,unchanged,unchanged
6,252,1,1,1,1,unchanged,unchanged
7,253,1,1,1,1,unchanged,unchanged
3,254,1,1,1,1,unchanged,unchanged
6,255,1,1,1,1,unchanged,unchanged
3,256,1,1,1,1,unchanged,unchanged
9,257,1,1,1,1,unchanged,unchanged
1,258,1,1,1,1,unchanged,unchanged
4,259,1,1,1,1,unchanged,unchanged
6,260,1,1,2,1,unchanged,repair
8,261,1,1,1,1,unchanged,unchanged
5,262,1,1,1,1,unchanged,unchanged
0,263,1,1,1,1,unchanged,unchanged
6,264,1,1,1,1,unchanged,unchanged
1,265,1,1,1,1,unchanged,unchanged
6,266,1,1,1,1,unchanged,unchanged
8,267,1,1,1,1,unchanged,unchanged
2,268,1,1,1,1,unchanged,unchanged
6,269,1,1,1,1,unchanged,unchanged
2,270,1,1,2,2,damage,unchanged
0,271,1,1,1,1,unchanged,unchanged
1,272,1,2,1,2,unchanged,damage
2,273,1,1,1,1,unchanged,unchanged
5,274,1,1,1,1,unchanged,unchanged
8,275,1,1,1,1,unchanged,unchanged
0,276,1,1,1,1,unchanged,unchanged
2,277,1,1,1,1,unchanged,unchanged
4,278,1,1,1,1,unchanged,unchanged
2,279,1,1,1,1,unchanged,unchanged
7,280,1,1,1,1,unchanged,unchanged
4,281,2,2,2,2,unchanged,unchanged
5,282,2,0,0,2,repair,repair
3,283,2,2,2,2,unchanged,unchanged
5,284,2,2,1,2,unchanged,repair
2,285,2,2,2,2,unchanged,unchanged
0,286,2,2,2,2,unchanged,unchanged
5,287,2,2,2,2,unchanged,unchanged
1,288,2,2,2,2,unchanged,unchanged
3,289,2,2,2,1,damage,damage
4,290,2,2,2,2,unchanged,unchanged
2,291,2,2,2,2,unchanged,unchanged
7,292,2,2,2,2,unchanged,unchanged
7,293,2,2,2,2,unchanged,unchanged
0,294,2,2,2,2,unchanged,unchanged
1,295,2,2,2,2,unchanged,unchanged
4,296,2,2,2,2,unchanged,unchanged
8,297,2,2,2,2,unchanged,unchanged
7,298,2,2,2,2,unchanged,unchanged
6,299,2,2,2,2,unchanged,unchanged
6,300,2,2,2,2,unchanged,unchanged
7,301,2,2,2,2,unchanged,unchanged
0,302,2,2,2,2,unchanged,unchanged
1,303,2,2,2,2,unchanged,unchanged
1,304,2,2,2,2,unchanged,unchanged
4,305,2,1,2,2,repair,unchanged
3,306,2,2,2,2,unchanged,unchanged
6,307,2,2,2,2,unchanged,unchanged
7,308,2,2,2,2,unchanged,unchanged
3,309,2,2,2,2,unchanged,unchanged
9,310,2,2,2,2,unchanged,unchanged
5,311,2,2,2,2,unchanged,unchanged
2,312,2,2,2,2,unchanged,unchanged
5,313,2,2,2,2,unchanged,unchanged
3,314,2,2,2,2,unchanged,unchanged
5,315,2,2,2,2,unchanged,unchanged
3,316,2,2,2,2,unchanged,unchanged
1,317,2,2,2,2,unchanged,unchanged
0,318,2,2,2,2,unchanged,unchanged
1,319,2,2,2,2,unchanged,unchanged
8,320,2,2,2,2,unchanged,unchanged
5,321,2,2,2,2,unchanged,unchanged
2,322,2,2,2,2,unchanged,unchanged
1,323,2,2,2,2,unchanged,unchanged
6,324,2,2,2,2,unchanged,unchanged
7,325,2,2,2,2,unchanged,unchanged
1,326,2,2,2,2,unchanged,unchanged
8,327,2,2,2,2,unchanged,unchanged
0,328,2,2,2,2,unchanged,unchanged
7,329,2,2,2,2,unchanged,unchanged
6,330,2,2,2,2,unchanged,unchanged
5,331,2,2,2,2,unchanged,unchanged
1,332,2,2,2,2,unchanged,unchanged
5,333,2,2,2,2,unchanged,unchanged
1,334,2,2,2,2,unchanged,unchanged
3,335,2,2,2,2,unchanged,unchanged
6,336,2,2,2,2,unchanged,unchanged
5,337,2,2,2,2,unchanged,unchanged
2,338,2,2,2,2,unchanged,unchanged
7,339,2,2,2,2,unchanged,unchanged
3,340,2,2,2,2,unchanged,unchanged
5,341,2,2,2,2,unchanged,unchanged
7,342,2,2,2,2,unchanged,unchanged
1,343,2,2,2,2,unchanged,unchanged
4,344,2,2,2,2,unchanged,unchanged
5,345,2,2,2,2,unchanged,unchanged
1,346,2,2,2,2,unchanged,unchanged
4,347,2,2,2,2,unchanged,unchanged
7,348,2,2,2,2,unchanged,unchanged
8,349,2,2,2,2,unchanged,unchanged
8,350,2,0,2,2,repair,unchanged
7,351,2,2,2,2,unchanged,unchanged
9,352,2,2,2,2,unchanged,unchanged
8,353,2,2,2,2,unchanged,unchanged
5,354,2,2,2,2,unchanged,unchanged
7,355,2,2,2,2,unchanged,unchanged
5,356,2,2,2,2,unchanged,unchanged
8,357,2,2,2,2,unchanged,unchanged
9,358,2,2,2,2,unchanged,unchanged
2,359,2,2,2,2,unchanged,unchanged
6,360,2,2,2,2,unchanged,unchanged
9,361,2,0,2,0,unchanged,damage
1,362,2,2,2,2,unchanged,unchanged
9,363,2,2,2,2,unchanged,unchanged
1,364,2,0,0,0,unchanged,unchanged
5,365,2,2,2,2,unchanged,unchanged
7,366,2,2,2,2,unchanged,unchanged
7,367,2,2,2,2,unchanged,unchanged
5,368,2,2,2,2,unchanged,unchanged
7,369,2,2,2,2,unchanged,unchanged
8,370,2,2,2,2,unchanged,unchanged
4,371,2,2,2,2,unchanged,unchanged
5,372,2,2,0,2,unchanged,repair
6,373,2,2,2,2,unchanged,unchanged
9,374,2,2,2,2,unchanged,unchanged
3,375,2,2,2,2,unchanged,unchanged
3,376,2,2,2,2,unchanged,unchanged
2,377,2,2,2,2,unchanged,unchanged
0,378,2,1,1,1,unchanged,unchanged
2,379,2,2,2,2,unchanged,unchanged
0,380,2,2,2,2,unchanged,unchanged
0,381,2,2,2,2,unchanged,unchanged
0,382,2,2,2,2,unchanged,unchanged
4,383,2,2,2,2,unchanged,unchanged
3,384,2,2,2,2,unchanged,unchanged
7,385,2,2,2,2,unchanged,unchanged
4,386,2,2,2,2,unchanged,unchanged
2,387,2,2,2,2,unchanged,unchanged
2,388,2,2,2,2,unchanged,unchanged
7,389,2,2,2,2,unchanged,unchanged
7,390,2,2,2,2,unchanged,unchanged
4,391,2,0,2,2,repair,unchanged
3,392,2,2,2,2,unchanged,unchanged
3,393,2,1,2,1,unchanged,damage
5,394,2,2,2,2,unchanged,unchanged
3,395,2,2,2,2,unchanged,unchanged
7,396,2,2,2,2,unchanged,unchanged
7,397,2,2,2,2,unchanged,unchanged
3,398,2,2,2,2,unchanged,unchanged
6,399,2,2,2,2,unchanged,unchanged
6,400,2,2,2,2,unchanged,unchanged
1,401,2,2,2,2,unchanged,unchanged
2,402,2,2,2,2,unchanged,unchanged
7,403,2,2,2,2,unchanged,unchanged
7,404,2,2,2,2,unchanged,unchanged
4,405,2,2,2,2,unchanged,unchanged
9,406,2,2,2,2,unchanged,unchanged
5,407,2,0,2,2,repair,unchanged
4,408,2,2,2,2,unchanged,unchanged
3,409,2,2,2,2,unchanged,unchanged
8,410,2,2,2,2,unchanged,unchanged
3,411,2,2,2,2,unchanged,unchanged
5,412,2,2,2,2,unchanged,unchanged
5,413,2,2,1,2,unchanged,repair
9,414,2,2,2,2,unchanged,unchanged
8,415,2,2,2,1,damage,damage
2,416,2,2,2,2,unchanged,unchanged
4,417,2,2,2,2,unchanged,unchanged
3,418,2,2,2,2,unchanged,unchanged
0,419,2,2,2,2,unchanged,unchanged
0,420,2,2,2,2,unchanged,unchanged
8,421,2,2,2,2,unchanged,unchanged
8,422,2,2,2,2,unchanged,unchanged
8,423,2,2,2,2,unchanged,unchanged
9,424,2,2,2,2,unchanged,unchanged
2,425,2,2,2,2,unchanged,unchanged
3,426,2,2,2,2,unchanged,unchanged
1,427,2,2,2,2,unchanged,unchanged
9,428,2,0,2,2,repair,unchanged
0,429,2,2,2,2,unchanged,unchanged
0,430,2,2,2,2,unchanged,unchanged
4,431,2,2,2,2,unchanged,unchanged
2,432,2,2,2,2,unchanged,unchanged
6,433,2,2,2,2,unchanged,unchanged
8,434,2,2,2,2,unchanged,unchanged
6,435,2,2,2,2,unchanged,unchanged
7,436,2,2,2,2,unchanged,unchanged
9,437,2,2,2,2,unchanged,unchanged
8,438,2,2,1,2,unchanged,repair
0,439,2,2,1,2,unchanged,repair
8,440,2,2,2,2,unchanged,unchanged
1,441,2,2,2,2,unchanged,unchanged
0,442,2,2,2,2,unchanged,unchanged
4,443,2,2,2,2,unchanged,unchanged
1,444,2,2,2,2,unchanged,unchanged
8,445,2,2,2,2,unchanged,unchanged
3,446,2,2,2,2,unchanged,unchanged
5,447,2,2,2,2,unchanged,unchanged
6,448,2,2,2,2,unchanged,unchanged
4,449,2,2,2,2,unchanged,unchanged
1,450,2,2,2,2,unchanged,unchanged
1,451,2,1,1,1,unchanged,unchanged
2,452,2,2,2,2,unchanged,unchanged
4,453,2,2,2,2,unchanged,unchanged
1,454,2,2,2,2,unchanged,unchanged
8,455,2,2,2,2,unchanged,unchanged
0,456,2,2,2,2,unchanged,unchanged
9,457,2,2,2,2,unchanged,unchanged
5,458,2,2,2,2,unchanged,unchanged
5,459,2,2,2,2,unchanged,unchanged
3,460,2,2,2,2,unchanged,unchanged
4,461,2,2,2,2,unchanged,unchanged
9,462,2,2,2,2,unchanged,unchanged
6,463,2,2,2,2,unchanged,unchanged
7,464,2,2,2,2,unchanged,unchanged
4,465,2,2,2,2,unchanged,unchanged
2,466,2,2,2,2,unchanged,unchanged
6,467,2,2,2,2,unchanged,unchanged
7,468,2,2,2,2,unchanged,unchanged
9,469,2,2,2,2,unchanged,unchanged
4,470,2,2,2,2,unchanged,unchanged
3,471,2,2,2,2,unchanged,unchanged
1,472,2,2,2,2,unchanged,unchanged
0,473,2,2,2,2,unchanged,unchanged
2,474,2,2,2,2,unchanged,unchanged
2,475,2,2,2,2,unchanged,unchanged
1,476,2,2,2,2,unchanged,unchanged
1,477,2,2,2,2,unchanged,unchanged
6,478,2,2,2,2,unchanged,unchanged
8,479,2,2,2,2,unchanged,unchanged
6,480,2,2,2,2,unchanged,unchanged
4,481,2,2,2,2,unchanged,unchanged
6,482,2,2,2,2,unchanged,unchanged
8,483,2,2,2,2,unchanged,unchanged
9,484,2,2,2,2,unchanged,unchanged
8,485,2,2,2,2,unchanged,unchanged
2,486,2,2,2,2,unchanged,unchanged
4,487,2,2,2,2,unchanged,unchanged
6,488,2,2,2,2,unchanged,unchanged
6,489,2,2,2,2,unchanged,unchanged
2,490,2,2,2,2,unchanged,unchanged
9,491,2,2,2,2,unchanged,unchanged
2,492,2,2,2,2,unchanged,unchanged
4,493,2,2,2,2,unchanged,unchanged
9,494,2,2,2,2,unchanged,unchanged
1,495,2,2,2,2,unchanged,unchanged
9,496,2,2,2,2,unchanged,unchanged
2,497,2,2,2,2,unchanged,unchanged
9,498,2,2,2,2,unchanged,unchanged
9,499,2,2,2,2,unchanged,unchanged
0,500,2,2,2,2,unchanged,unchanged
2,501,2,1,2,2,repair,unchanged
7,502,2,2,2,2,unchanged,unchanged
6,503,2,2,2,2,unchanged,unchanged
3,504,2,2,2,2,unchanged,unchanged
4,505,2,2,2,2,unchanged,unchanged
8,506,2,2,2,2,unchanged,unchanged
6,507,2,2,2,2,unchanged,unchanged
3,508,2,2,2,2,unchanged,unchanged
9,509,2,2,2,2,unchanged,unchanged
2,510,2,2,2,2,unchanged,unchanged
2,511,2,2,2,2,unchanged,unchanged
2,512,2,2,2,2,unchanged,unchanged
0,513,2,2,2,2,unchanged,unchanged
6,514,2,2,2,2,unchanged,unchanged
8,515,2,2,2,2,unchanged,unchanged
0,516,2,2,2,2,unchanged,unchanged
8,517,2,2,2,2,unchanged,unchanged
7,518,2,2,2,2,unchanged,unchanged
7,519,2,0,2,0,unchanged,damage
3,520,2,2,2,2,unchanged,unchanged
8,521,2,2,2,2,unchanged,unchanged
6,522,2,2,2,1,damage,damage
4,523,2,2,2,2,unchanged,unchanged
3,524,2,2,2,1,damage,damage
0,525,2,2,2,2,unchanged,unchanged
0,526,2,2,2,2,unchanged,unchanged
9,527,2,2,2,2,unchanged,unchanged
6,528,2,2,2,1,damage,damage
5,529,2,2,2,2,unchanged,unchanged
5,530,2,2,2,1,damage,damage
5,531,2,2,2,2,unchanged,unchanged
0,532,2,2,2,2,unchanged,unchanged
2,533,2,2,2,2,unchanged,unchanged
4,534,2,2,2,2,unchanged,unchanged
1,535,2,2,2,2,unchanged,unchanged
2,536,2,2,2,2,unchanged,unchanged
4,537,2,2,2,2,unchanged,unchanged
6,538,2,1,1,1,unchanged,unchanged
5,539,2,2,2,2,unchanged,unchanged
4,540,2,2,2,2,unchanged,unchanged
5,541,2,2,2,2,unchanged,unchanged
4,542,2,2,2,2,unchanged,unchanged
9,543,2,2,2,2,unchanged,unchanged
2,544,2,2,2,2,unchanged,unchanged
9,545,2,2,2,2,unchanged,unchanged
3,546,2,2,2,2,unchanged,unchanged
1,547,2,2,2,2,unchanged,unchanged
1,548,2,2,2,2,unchanged,unchanged
9,549,2,2,2,2,unchanged,unchanged
0,550,2,2,2,2,unchanged,unchanged
1,551,2,2,2,2,unchanged,unchanged
0,552,2,2,2,2,unchanged,unchanged
6,553,2,2,2,2,unchanged,unchanged
6,554,2,2,2,2,unchanged,unchanged
9,555,2,2,2,2,unchanged,unchanged
0,556,2,2,2,2,unchanged,unchanged
9,557,2,2,2,2,unchanged,unchanged
6,558,2,2,2,2,unchanged,unchanged
0,559,2,2,2,2,unchanged,unchanged
0,560,2,2,2,2,unchanged,unchanged
4,561,2,2,2,2,unchanged,unchanged
4,562,2,2,1,2,unchanged,repair
9,563,2,2,2,2,unchanged,unchanged
8,564,2,0,2,2,repair,unchanged
6,565,2,2,2,2,unchanged,unchanged
9,566,2,2,2,2,unchanged,unchanged
0,567,2,2,2,2,unchanged,unchanged
7,568,2,2,2,2,unchanged,unchanged
2,569,2,1,1,2,repair,repair
1,570,2,2,2,2,unchanged,unchanged
0,571,2,2,2,2,unchanged,unchanged
3,572,2,2,2,2,unchanged,unchanged
4,573,2,2,2,2,unchanged,unchanged
3,574,2,2,2,1,damage,damage
7,575,2,2,2,2,unchanged,unchanged
1,576,2,2,2,2,unchanged,unchanged
2,577,2,2,2,2,unchanged,unchanged
8,578,2,2,2,2,unchanged,unchanged
5,579,2,2,2,2,unchanged,unchanged
9,580,2,2,2,2,unchanged,unchanged
8,581,2,2,2,2,unchanged,unchanged
6,582,2,2,2,2,unchanged,unchanged
0,583,2,1,2,2,repair,unchanged
3,584,2,2,2,2,unchanged,unchanged
7,585,2,1,1,2,repair,repair
6,586,2,2,2,2,unchanged,unchanged
8,587,2,2,2,2,unchanged,unchanged
5,588,2,2,2,2,unchanged,unchanged
8,589,2,0,2,0,unchanged,damage
3,590,2,2,2,2,unchanged,unchanged
8,591,2,2,2,2,unchanged,unchanged
5,592,2,2,0,0,damage,unchanged
2,593,2,2,2,2,unchanged,unchanged
7,594,2,2,2,2,unchanged,unchanged
1,595,2,2,2,2,unchanged,unchanged
3,596,2,2,2,2,unchanged,unchanged
9,597,2,2,2,2,unchanged,unchanged
