feature_index,feature_name,modality,member_00,member_01,member_02,member_03,coverage_count
31,ST48CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,1,3
32,ST59SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,2
33,ST118SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,1,3
34,ST48SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1,0,2
35,ST93CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,0,1,3
36,ST13TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,2
37,ST93TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,2
38,ST110CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,2
39,ST62SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,2
40,ST34SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1,1,3
41,ST104SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,2
42,ST62TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,4
43,ST108SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,2
44,ST85SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,0,1,3
45,ST32SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,2
46,ST39CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1,0,2
47,ST54SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,2
48,ST58TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,1,3
49,ST43TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,2
50,ST54TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,2
51,ST104CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,2
52,ST97TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,2
53,ST73SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,2
54,ST108CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,2
55,ST103TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,1,3
56,ST44TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,2
57,ST99CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,0,3
58,ST108TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,2
59,ST37SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,2
60,ST88SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,2
61,ST50CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,2
62,ST57SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,1,3
63,ST61SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,2
64,ST84TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,1,3
65,ST72CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,0,1,3
66,ST10CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,2
67,ST56CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1,0,2
68,ST38CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,0,1,3
69,ST107TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,2
70,ST84CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1,0,2
71,ST84SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,2
72,ST47SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,2
73,ST29SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,2
74,ST82SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,2
75,ST23SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,2
76,ST54CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,2
77,ST74CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,0,1,3
78,ST82TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,2
79,ST98SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,1,3
80,ST52TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,2
81,ST99TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,2
82,ST34TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,2
83,ST85CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,2
84,ST116CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,2
85,ST110SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,0,1,3
86,ST48TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,0,1,3
87,ST115SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,2
88,ST93SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,2
89,ST57TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1,0,2
90,ST55CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,2
91,ST113SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,2
92,ST34CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,2
93,ST57CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,1,3
94,ST23CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1,0,2
95,ST121TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,2
96,ST40SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,2
97,ST118TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,0,3
98,ST38SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,0,3
99,ST58SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,2
100,ST115TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,2
101,ST32TS_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,2
102,ST107CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,2
103,ST15CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,2
104,ST50TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,2
105,ST94TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,2
106,ST46CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,2
107,ST55SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,2
108,ST119CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,0,1,3
109,ST40CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,2
110,ST95SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,2
111,ST31SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,2
112,ST52SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1,0,2
113,ST46TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,2
114,ST30SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,2
115,ST46SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,2
116,ST94CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,2
117,ST49TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,2
118,ST32CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,2
119,ST102SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,2
120,ST118CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,2
121,ST117CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,2
122,ST111SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,2
123,ST55TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,2
124,ST113CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,0,1,3
125,ST60TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,0,1,3
126,ST35CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,2
127,ST102TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,2
128,ST121SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1,0,2
129,ST47CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,2
130,ST111TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,1,3
131,ST56SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,2
132,ST103CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,0,1,3
133,ST59TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,2
134,ST104TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,2
135,ST14CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1,0,2
136,ST128SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,1,3
137,ST26CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,2
138,CTX_RH_LATERALORBITOFRONTAL_SIZE_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,2
139,RIGHT_CEREBELLUM_WHITE_MATTER_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,2
140,RIGHT_CEREBRAL_WHITE_MATTER_SIZE_UCBERKELEYAV45_10_17_16,PET,0,1,1,0,2
141,CTX_LH_FUSIFORM_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,2
142,CTX_RH_BANKSSTS_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,2
143,CTX_RH_SUPERIORTEMPORAL_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,2
144,CTX_LH_BANKSSTS_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,2
145,CTX_LH_UNKNOWN_SIZE_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,2
146,CTX_RH_PARSOPERCULARIS_UCBERKELEYAV45_10_17_16,PET,1,1,0,1,3
147,CTX_LH_ROSTRALMIDDLEFRONTAL_UCBERKELEYAV45_10_17_16,PET,0,1,1,1,3
148,CTX_RH_PARSORBITALIS_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,2
149,CC_CENTRAL_SIZE_UCBERKELEYAV45_10_17_16,PET,0,1,1,0,2
150,SUMMARYSUVR_WHOLECEREBNORM_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,2
151,CTX_RH_INFERIORTEMPORAL_SIZE_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,2
152,RIGHT_HIPPOCAMPUS_UCBERKELEYAV45_10_17_16,PET,1,1,1,0,3
153,CC_ANTERIOR_SIZE_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,2
154,CSF_UCBERKELEYAV45_10_17_16,PET,1,1,0,1,3
155,CTX_LH_LINGUAL_UCBERKELEYAV45_10_17_16,PET,0,1,1,0,2
156,CTX_LH_MEDIALORBITOFRONTAL_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,2
157,RIGHT_CEREBELLUM_WHITE_MATTER_SIZE_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,2
158,CTX_RH_ENTORHINAL_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,2
159,LEFT_CHOROID_PLEXUS_SIZE_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,4
160,LEFT_AMYGDALA_UCBERKELEYAV45_10_17_16,PET,0,1,1,0,2
161,CTX_RH_SUPERIORFRONTAL_SIZE_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,2
162,CTX_LH_INFERIORPARIETAL_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,2
163,RIGHT_AMYGDALA_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,2
164,LEFT_LATERAL_VENTRICLE_SIZE_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,2
165,CTX_LH_ROSTRALMIDDLEFRONTAL_SIZE_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,2
166,CTX_LH_PRECUNEUS_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,2
167,CTX_RH_POSTERIORCINGULATE_UCBERKELEYAV45_10_17_16,PET,0,1,1,0,2
168,LEFT_HIPPOCAMPUS_SIZE_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,2
169,CTX_LH_PARSOPERCULARIS_UCBERKELEYAV45_10_17_16,PET,1,0,1,1,3
170,CC_MID_ANTERIOR_SIZE_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,2
171,CTX_RH_CAUDALANTERIORCINGULATE_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,2
172,CTX_RH_PARAHIPPOCAMPAL_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,2
173,CTX_RH_CAUDALMIDDLEFRONTAL_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,2
174,RIGHT_CEREBRAL_WHITE_MATTER_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,2
175,CTX_RH_ISTHMUSCINGULATE_UCBERKELEYAV45_10_17_16,PET,1,0,1,1,3
176,CTX_LH_LATERALOCCIPITAL_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,2
177,CTX_LH_CAUDALANTERIORCINGULATE_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,2
178,RIGHT_INF_LAT_VENT_SIZE_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,2
179,CTX_RH_CAUDALMIDDLEFRONTAL_SIZE_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,2
180,RIGHT_PALLIDUM_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,2
181,RIGHT_VESSEL_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,2
182,CTX_RH_PARSTRIANGULARIS_SIZE_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,2
183,CTX_RH_INFERIORPARIETAL_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,2
184,CTX_RH_MEDIALORBITOFRONTAL_SIZE_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,2
185,NON_WM_HYPOINTENSITIES_SIZE_UCBERKELEYAV45_10_17_16,PET,0,1,1,0,2
186,RIGHT_CEREBELLUM_CORTEX_SIZE_UCBERKELEYAV45_10_17_16,PET,1,0,1,1,3
187,LEFT_ACCUMBENS_AREA_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,2
188,CTX_RH_PARACENTRAL_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,2
189,CTX_LH_POSTERIORCINGULATE_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,2
190,LEFT_INF_LAT_VENT_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,2
191,CTX_LH_FRONTALPOLE_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,2
192,CC_ANTERIOR_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,2
193,CC_MID_ANTERIOR_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,2
194,CTX_LH_ISTHMUSCINGULATE_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,2
195,CTX_RH_POSTCENTRAL_UCBERKELEYAV45_10_17_16,PET,1,0,1,1,3
196,CTX_LH_SUPERIORFRONTAL_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,2
197,ERODED_SUBCORTICALWM_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,2
198,WHOLECEREBELLUM_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,2
199,CTX_LH_PERICALCARINE_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,2
200,LEFT_PUTAMEN_SIZE_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,2
201,NON_WM_HYPOINTENSITIES_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,2
202,LEFT_ACCUMBENS_AREA_SIZE_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,2
203,CINGULATE_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,2
204,CTX_RH_SUPERIORPARIETAL_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,2
205,CTX_LH_CUNEUS_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,2
206,CTX_RH_PERICALCARINE_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,2
207,CTX_RH_PARSTRIANGULARIS_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,2
208,LEFT_PUTAMEN_UCBERKELEYAV45_10_17_16,PET,1,0,1,1,3
209,LEFT_CEREBELLUM_WHITE_MATTER_UCBERKELEYAV45_10_17_16,PET,0,1,1,0,2
210,CTX_LH_SUPERIORFRONTAL_SIZE_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,2
211,CTX_LH_PARAHIPPOCAMPAL_SIZE_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,2
212,CTX_RH_SUPRAMARGINAL_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,2
213,LEFT_PALLIDUM_SIZE_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,2
214,CTX_LH_CAUDALMIDDLEFRONTAL_SIZE_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,2
215,CTX_LH_LATERALORBITOFRONTAL_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,2
216,LEFT_CEREBRAL_WHITE_MATTER_SIZE_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,2
217,CTX_LH_ENTORHINAL_SIZE_UCBERKELEYAV45_10_17_16,PET,1,0,1,1,3
218,CTX_RH_LINGUAL_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,2
219,CTX_RH_TRANSVERSETEMPORAL_UCBERKELEYAV45_10_17_16,PET,0,1,1,0,2
220,LEFT_HIPPOCAMPUS_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,2
221,SUMMARYSUVR_COMPOSITE_REFNORM_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,2
222,LEFT_CEREBRAL_WHITE_MATTER_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,2
223,CTX_LH_PARACENTRAL_UCBERKELEYAV45_10_17_16,PET,1,1,0,1,3
224,CTX_RH_LATERALORBITOFRONTAL_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,2
225,FRONTAL_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,2
226,CTX_RH_INSULA_UCBERKELEYAV45_10_17_16,PET,0,1,1,0,2
227,LEFT_VENTRALDC_SIZE_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,2
228,CTX_RH_INFERIORTEMPORAL_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,2
229,CTX_RH_SUPERIORFRONTAL_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,2
230,CTX_LH_LINGUAL_SIZE_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,2
231,CC_CENTRAL_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,2
232,RIGHT_VENTRALDC_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,2
233,LEFT_CEREBELLUM_WHITE_MATTER_SIZE_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,2
234,CTX_RH_INSULA_SIZE_UCBERKELEYAV45_10_17_16,PET,1,1,0,1,3
235,CTX_RH_ROSTRALMIDDLEFRONTAL_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,2
236,CTX_LH_PERICALCARINE_SIZE_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,2
237,CTX_LH_POSTCENTRAL_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,2
238,VENTRICLE_4TH_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,2
239,CTX_RH_PRECUNEUS_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,2
240,CTX_RH_POSTCENTRAL_SIZE_UCBERKELEYAV45_10_17_16,PET,0,1,1,0,2
241,PARIETAL_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,2
242,CSF_SIZE_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,2
243,LEFT_PALLIDUM_UCBERKELEYAV45_10_17_16,PET,1,1,0,1,3
244,RIGHT_ACCUMBENS_AREA_UCBERKELEYAV45_10_17_16,PET,1,1,0,1,3
245,CTX_RH_INFERIORPARIETAL_SIZE_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,2
246,CTX_LH_SUPERIORTEMPORAL_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,2
247,CTX_LH_SUPERIORPARIETAL_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,2
248,CTX_RH_FRONTALPOLE_SIZE_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,2
249,TEMPORAL_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,2
250,CTX_RH_FUSIFORM_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,2
251,CTX_LH_SUPRAMARGINAL_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,2
252,CTX_RH_FRONTALPOLE_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,2
253,CTX_RH_MEDIALORBITOFRONTAL_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,2
254,RIGHT_LATERAL_VENTRICLE_SIZE_UCBERKELEYAV45_10_17_16,PET,1,0,1,1,3
255,CTX_LH_ENTORHINAL_UCBERKELEYAV45_10_17_16,PET,1,1,0,1,3
256,CTX_RH_ROSTRALMIDDLEFRONTAL_SIZE_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,2
257,CTX_LH_INFERIORTEMPORAL_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,2
258,CTX_LH_TEMPORALPOLE_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,2
259,LEFT_VESSEL_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,2
260,CTX_LH_INSULA_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,2
261,CTX_LH_ROSTRALANTERIORCINGULATE_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,2
262,LEFT_AMYGDALA_SIZE_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,2
263,CTX_RH_SUPERIORTEMPORAL_SIZE_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,2
264,RIGHT_HIPPOCAMPUS_SIZE_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,2
265,CTX_LH_PARSTRIANGULARIS_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,2
266,CTX_LH_POSTCENTRAL_SIZE_UCBERKELEYAV45_10_17_16,PET,1,1,0,1,3
267,LEFT_CHOROID_PLEXUS_UCBERKELEYAV45_10_17_16,PET,1,0,1,1,3
268,CTX_RH_TEMPORALPOLE_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,2
