feature_index,feature_name,modality,fold_00_coverage_count,fold_01_coverage_count,fold_02_coverage_count,fold_03_coverage_count,fold_04_coverage_count,fold_05_coverage_count,fold_06_coverage_count,fold_07_coverage_count,fold_08_coverage_count,fold_09_coverage_count,minimum_coverage_count_across_folds,maximum_coverage_count_across_folds,total_coverage_count_across_folds
91,ST113SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
92,ST34CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
93,ST57CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
94,ST23CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
95,ST121TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
96,ST40SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
97,ST118TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,2,2,2,2,2,2,2,2,2,2,2,2,20
98,ST38SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,2,2,2,2,2,2,2,2,2,2,2,2,20
99,ST58SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
100,ST115TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
101,ST32TS_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
102,ST107CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
103,ST15CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
104,ST50TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
105,ST94TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
106,ST46CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
107,ST55SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
108,ST119CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,2,2,2,2,2,2,2,2,2,2,2,2,20
109,ST40CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
110,ST95SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
111,ST31SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
112,ST52SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
113,ST46TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
114,ST30SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
115,ST46SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
116,ST94CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
117,ST49TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
118,ST32CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
119,ST102SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
120,ST118CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
121,ST117CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
122,ST111SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
123,ST55TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
124,ST113CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,2,2,2,2,2,2,2,2,2,2,2,2,20
125,ST60TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,2,2,2,2,2,2,2,2,2,2,2,2,20
126,ST35CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
127,ST102TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
128,ST121SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
129,ST47CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
130,ST111TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
131,ST56SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
132,ST103CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,2,2,2,2,2,2,2,2,2,2,2,2,20
133,ST59TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
134,ST104TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
135,ST14CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
136,ST128SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
137,ST26CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,1,1,1,1,1,1,1,1,10
138,CTX_RH_LATERALORBITOFRONTAL_SIZE_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
139,RIGHT_CEREBELLUM_WHITE_MATTER_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
140,RIGHT_CEREBRAL_WHITE_MATTER_SIZE_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
141,CTX_LH_FUSIFORM_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
142,CTX_RH_BANKSSTS_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
143,CTX_RH_SUPERIORTEMPORAL_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
144,CTX_LH_BANKSSTS_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
145,CTX_LH_UNKNOWN_SIZE_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
146,CTX_RH_PARSOPERCULARIS_UCBERKELEYAV45_10_17_16,PET,2,2,2,2,2,2,2,2,2,2,2,2,20
147,CTX_LH_ROSTRALMIDDLEFRONTAL_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
148,CTX_RH_PARSORBITALIS_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
149,CC_CENTRAL_SIZE_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
150,SUMMARYSUVR_WHOLECEREBNORM_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
151,CTX_RH_INFERIORTEMPORAL_SIZE_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
152,RIGHT_HIPPOCAMPUS_UCBERKELEYAV45_10_17_16,PET,2,2,2,2,2,2,2,2,2,2,2,2,20
153,CC_ANTERIOR_SIZE_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
154,CSF_UCBERKELEYAV45_10_17_16,PET,2,2,2,2,2,2,2,2,2,2,2,2,20
155,CTX_LH_LINGUAL_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
156,CTX_LH_MEDIALORBITOFRONTAL_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
157,RIGHT_CEREBELLUM_WHITE_MATTER_SIZE_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
158,CTX_RH_ENTORHINAL_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
159,LEFT_CHOROID_PLEXUS_SIZE_UCBERKELEYAV45_10_17_16,PET,2,2,2,2,2,2,2,2,2,2,2,2,20
160,LEFT_AMYGDALA_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
161,CTX_RH_SUPERIORFRONTAL_SIZE_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
162,CTX_LH_INFERIORPARIETAL_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
163,RIGHT_AMYGDALA_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
164,LEFT_LATERAL_VENTRICLE_SIZE_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
165,CTX_LH_ROSTRALMIDDLEFRONTAL_SIZE_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
166,CTX_LH_PRECUNEUS_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
167,CTX_RH_POSTERIORCINGULATE_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
168,LEFT_HIPPOCAMPUS_SIZE_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
169,CTX_LH_PARSOPERCULARIS_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
170,CC_MID_ANTERIOR_SIZE_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
171,CTX_RH_CAUDALANTERIORCINGULATE_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
172,CTX_RH_PARAHIPPOCAMPAL_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
173,CTX_RH_CAUDALMIDDLEFRONTAL_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
174,RIGHT_CEREBRAL_WHITE_MATTER_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
175,CTX_RH_ISTHMUSCINGULATE_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
176,CTX_LH_LATERALOCCIPITAL_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
177,CTX_LH_CAUDALANTERIORCINGULATE_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
178,RIGHT_INF_LAT_VENT_SIZE_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
179,CTX_RH_CAUDALMIDDLEFRONTAL_SIZE_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
180,RIGHT_PALLIDUM_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
181,RIGHT_VESSEL_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
182,CTX_RH_PARSTRIANGULARIS_SIZE_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
183,CTX_RH_INFERIORPARIETAL_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
184,CTX_RH_MEDIALORBITOFRONTAL_SIZE_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
185,NON_WM_HYPOINTENSITIES_SIZE_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
186,RIGHT_CEREBELLUM_CORTEX_SIZE_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
187,LEFT_ACCUMBENS_AREA_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
188,CTX_RH_PARACENTRAL_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
189,CTX_LH_POSTERIORCINGULATE_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
190,LEFT_INF_LAT_VENT_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
191,CTX_LH_FRONTALPOLE_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
192,CC_ANTERIOR_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
193,CC_MID_ANTERIOR_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
194,CTX_LH_ISTHMUSCINGULATE_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
195,CTX_RH_POSTCENTRAL_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
196,CTX_LH_SUPERIORFRONTAL_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
197,ERODED_SUBCORTICALWM_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
198,WHOLECEREBELLUM_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
199,CTX_LH_PERICALCARINE_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
200,LEFT_PUTAMEN_SIZE_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
201,NON_WM_HYPOINTENSITIES_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,1,1,1,1,1,1,1,1,10
