feature_index,feature_name,modality,member_00,member_01,member_02,member_03,member_04,member_05,member_06,member_07,coverage_count
19,ST45SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,0,1,1,0,4
20,ST73CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,1,0,1,0,4
21,ST97CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,0,1,0,1,4
22,ST47TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,0,1,1,1,1,0,6
23,ST113TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,0,1,0,1,0,1,5
24,ST82CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,1,1,0,1,5
25,ST40TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,1,0,1,0,4
26,ST111CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,0,1,0,1,4
27,ST90TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,1,0,1,0,4
28,ST90CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,1,1,0,1,5
29,ST117TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1,0,1,0,1,0,4
30,ST26SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,1,0,1,0,4
31,ST48CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,1,0,1,0,1,5
32,ST59SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,0,1,0,1,4
33,ST118SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,1,0,1,0,1,5
34,ST48SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1,0,1,0,1,0,4
35,ST93CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,0,1,0,1,0,1,5
36,ST13TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,1,0,1,0,4
37,ST93TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,1,0,1,1,5
38,ST110CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,1,0,1,1,5
39,ST62SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,0,1,0,1,4
40,ST34SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1,1,1,0,1,0,5
41,ST104SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,1,0,1,0,4
42,ST62TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,1,0,1,0,1,6
43,ST108SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,1,0,1,0,4
44,ST85SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,0,1,0,1,0,1,5
45,ST32SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,1,1,0,1,5
46,ST39CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1,0,1,0,1,1,5
47,ST54SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,1,0,1,0,4
48,ST58TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,1,0,1,1,0,5
49,ST43TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,0,1,1,0,4
50,ST54TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,0,1,0,1,4
51,ST104CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,0,1,1,1,5
52,ST97TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,1,0,1,0,4
53,ST73SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,0,1,0,1,4
54,ST108CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,1,0,1,0,4
55,ST103TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,1,0,1,0,1,5
56,ST44TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,0,1,0,1,4
57,ST99CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,0,1,0,1,0,5
58,ST108TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,0,1,0,1,4
59,ST37SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,0,1,0,1,4
60,ST88SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,0,1,1,0,4
61,ST50CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,1,0,1,0,4
62,ST57SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,1,1,0,1,0,5
63,ST61SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,0,1,0,1,4
64,ST84TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,1,1,0,1,0,5
65,ST72CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,0,1,0,1,0,1,5
66,ST10CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,0,1,1,0,4
67,ST56CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1,0,1,0,1,0,4
68,ST38CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,0,1,0,1,1,0,5
69,ST107TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,1,0,1,0,4
70,ST84CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1,0,1,0,1,1,5
71,ST84SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,0,1,0,1,4
72,ST47SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,1,0,1,0,4
73,ST29SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,0,1,0,1,4
74,ST82SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,0,1,0,1,4
75,ST23SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,1,0,1,0,4
76,ST54CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,0,1,1,0,4
77,ST74CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,0,1,0,1,0,1,5
78,ST82TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,0,1,0,1,4
79,ST98SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,1,1,0,1,1,6
80,ST52TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,1,0,1,1,5
81,ST99TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,0,1,0,1,4
82,ST34TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,1,0,1,0,4
83,ST85CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,1,0,1,1,5
84,ST116CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,1,0,1,0,4
85,ST110SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,0,1,0,1,0,1,5
86,ST48TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,0,1,0,1,0,1,5
87,ST115SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,1,0,1,1,5
88,ST93SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,0,1,0,1,4
89,ST57TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1,0,1,0,1,0,4
90,ST55CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,1,0,1,0,4
91,ST113SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,0,1,0,1,4
92,ST34CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,1,0,1,0,4
93,ST57CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,1,0,1,0,1,5
94,ST23CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1,0,1,0,1,1,5
95,ST121TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,1,0,1,0,4
96,ST40SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,1,0,1,0,4
97,ST118TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,0,1,1,0,1,6
98,ST38SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,1,0,1,0,1,0,5
99,ST58SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,0,1,1,0,4
100,ST115TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,0,1,0,1,4
101,ST32TS_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,1,0,1,0,4
102,ST107CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,1,0,1,0,4
103,ST15CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,1,0,1,1,5
104,ST50TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,1,0,1,0,4
105,ST94TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,0,1,0,1,4
106,ST46CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,0,1,1,0,4
107,ST55SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,1,0,1,0,4
108,ST119CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,0,1,0,1,1,0,5
109,ST40CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,0,1,0,1,4
110,ST95SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,1,1,0,1,5
111,ST31SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,1,0,1,0,4
112,ST52SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1,0,1,0,1,0,4
113,ST46TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,1,0,1,0,4
114,ST30SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,1,0,1,0,4
115,ST46SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,1,1,0,1,5
116,ST94CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,1,0,1,0,4
117,ST49TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,1,0,1,1,5
118,ST32CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,0,1,0,1,4
119,ST102SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,1,1,0,1,5
120,ST118CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,0,1,0,1,4
121,ST117CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,1,0,1,1,5
122,ST111SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,0,1,0,1,4
123,ST55TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,1,1,0,1,5
124,ST113CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,0,1,0,1,0,1,5
125,ST60TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,0,1,1,0,1,0,5
126,ST35CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,1,1,0,1,5
127,ST102TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,1,0,1,0,4
128,ST121SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1,0,1,0,1,0,4
129,ST47CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,0,1,0,1,4
130,ST111TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,1,0,1,0,1,5
131,ST56SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,1,0,1,0,4
132,ST103CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,1,0,1,0,1,1,0,5
133,ST59TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,0,1,0,1,4
134,ST104TA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,0,1,0,1,0,4
135,ST14CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,1,0,1,1,0,1,5
136,ST128SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,1,0,1,1,0,1,0,1,5
137,ST26CV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,MRI,0,1,0,1,0,1,0,1,4
138,CTX_RH_LATERALORBITOFRONTAL_SIZE_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,1,0,1,1,5
139,RIGHT_CEREBELLUM_WHITE_MATTER_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,1,0,1,0,4
140,RIGHT_CEREBRAL_WHITE_MATTER_SIZE_UCBERKELEYAV45_10_17_16,PET,0,1,1,0,1,0,1,0,4
141,CTX_LH_FUSIFORM_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,1,0,1,0,4
142,CTX_RH_BANKSSTS_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,0,1,1,0,4
143,CTX_RH_SUPERIORTEMPORAL_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,0,1,0,1,4
144,CTX_LH_BANKSSTS_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,0,1,0,1,4
145,CTX_LH_UNKNOWN_SIZE_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,1,0,1,0,4
146,CTX_RH_PARSOPERCULARIS_UCBERKELEYAV45_10_17_16,PET,1,1,0,1,0,1,0,1,5
147,CTX_LH_ROSTRALMIDDLEFRONTAL_UCBERKELEYAV45_10_17_16,PET,0,1,1,1,0,1,0,1,5
148,CTX_RH_PARSORBITALIS_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,0,1,0,1,4
149,CC_CENTRAL_SIZE_UCBERKELEYAV45_10_17_16,PET,0,1,1,0,1,0,1,0,4
150,SUMMARYSUVR_WHOLECEREBNORM_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,0,1,1,1,5
151,CTX_RH_INFERIORTEMPORAL_SIZE_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,1,0,1,0,4
152,RIGHT_HIPPOCAMPUS_UCBERKELEYAV45_10_17_16,PET,1,1,1,0,1,0,1,0,5
153,CC_ANTERIOR_SIZE_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,0,1,0,1,4
154,CSF_UCBERKELEYAV45_10_17_16,PET,1,1,0,1,1,0,1,0,5
155,CTX_LH_LINGUAL_UCBERKELEYAV45_10_17_16,PET,0,1,1,0,1,1,1,1,6
156,CTX_LH_MEDIALORBITOFRONTAL_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,0,1,0,1,4
157,RIGHT_CEREBELLUM_WHITE_MATTER_SIZE_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,1,0,1,0,4
158,CTX_RH_ENTORHINAL_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,1,0,1,1,5
159,LEFT_CHOROID_PLEXUS_SIZE_UCBERKELEYAV45_10_17_16,PET,1,1,1,1,0,1,0,1,6
160,LEFT_AMYGDALA_UCBERKELEYAV45_10_17_16,PET,0,1,1,0,1,1,1,1,6
161,CTX_RH_SUPERIORFRONTAL_SIZE_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,1,1,0,1,5
162,CTX_LH_INFERIORPARIETAL_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,1,0,1,0,4
163,RIGHT_AMYGDALA_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,0,1,0,1,4
164,LEFT_LATERAL_VENTRICLE_SIZE_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,1,0,1,1,5
165,CTX_LH_ROSTRALMIDDLEFRONTAL_SIZE_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,1,1,0,1,5
166,CTX_LH_PRECUNEUS_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,1,1,0,1,5
167,CTX_RH_POSTERIORCINGULATE_UCBERKELEYAV45_10_17_16,PET,0,1,1,0,1,1,1,0,5
168,LEFT_HIPPOCAMPUS_SIZE_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,1,0,1,1,5
169,CTX_LH_PARSOPERCULARIS_UCBERKELEYAV45_10_17_16,PET,1,0,1,1,0,1,0,1,5
170,CC_MID_ANTERIOR_SIZE_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,1,1,0,1,5
171,CTX_RH_CAUDALANTERIORCINGULATE_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,1,1,0,1,5
172,CTX_RH_PARAHIPPOCAMPAL_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,0,1,0,1,4
173,CTX_RH_CAUDALMIDDLEFRONTAL_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,1,0,1,0,4
174,RIGHT_CEREBRAL_WHITE_MATTER_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,1,0,1,0,4
175,CTX_RH_ISTHMUSCINGULATE_UCBERKELEYAV45_10_17_16,PET,1,0,1,1,0,1,0,1,5
176,CTX_LH_LATERALOCCIPITAL_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,1,1,0,1,5
177,CTX_LH_CAUDALANTERIORCINGULATE_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,1,0,1,0,4
178,RIGHT_INF_LAT_VENT_SIZE_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,1,0,1,0,4
179,CTX_RH_CAUDALMIDDLEFRONTAL_SIZE_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,0,1,0,1,4
180,RIGHT_PALLIDUM_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,0,1,0,1,4
181,RIGHT_VESSEL_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,1,0,1,0,4
182,CTX_RH_PARSTRIANGULARIS_SIZE_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,0,1,0,1,4
183,CTX_RH_INFERIORPARIETAL_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,1,1,0,1,5
184,CTX_RH_MEDIALORBITOFRONTAL_SIZE_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,1,0,1,0,4
185,NON_WM_HYPOINTENSITIES_SIZE_UCBERKELEYAV45_10_17_16,PET,0,1,1,0,1,0,1,0,4
186,RIGHT_CEREBELLUM_CORTEX_SIZE_UCBERKELEYAV45_10_17_16,PET,1,0,1,1,1,0,1,0,5
187,LEFT_ACCUMBENS_AREA_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,1,0,1,1,5
188,CTX_RH_PARACENTRAL_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,1,0,1,0,4
189,CTX_LH_POSTERIORCINGULATE_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,1,0,1,0,4
190,LEFT_INF_LAT_VENT_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,1,0,1,0,4
191,CTX_LH_FRONTALPOLE_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,0,1,1,0,4
192,CC_ANTERIOR_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,1,0,1,0,4
193,CC_MID_ANTERIOR_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,1,0,1,0,4
194,CTX_LH_ISTHMUSCINGULATE_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,1,1,0,1,5
195,CTX_RH_POSTCENTRAL_UCBERKELEYAV45_10_17_16,PET,1,0,1,1,0,1,0,1,5
196,CTX_LH_SUPERIORFRONTAL_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,0,1,0,1,4
197,ERODED_SUBCORTICALWM_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,1,0,1,0,4
198,WHOLECEREBELLUM_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,1,0,1,0,4
199,CTX_LH_PERICALCARINE_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,1,0,1,0,4
200,LEFT_PUTAMEN_SIZE_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,0,1,0,1,4
201,NON_WM_HYPOINTENSITIES_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,1,0,1,0,4
202,LEFT_ACCUMBENS_AREA_SIZE_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,1,1,0,1,5
203,CINGULATE_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,0,1,0,1,4
204,CTX_RH_SUPERIORPARIETAL_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,1,0,1,0,4
205,CTX_LH_CUNEUS_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,1,1,0,1,5
206,CTX_RH_PERICALCARINE_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,0,1,0,1,4
207,CTX_RH_PARSTRIANGULARIS_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,0,1,0,1,4
208,LEFT_PUTAMEN_UCBERKELEYAV45_10_17_16,PET,1,0,1,1,1,0,1,0,5
209,LEFT_CEREBELLUM_WHITE_MATTER_UCBERKELEYAV45_10_17_16,PET,0,1,1,0,1,0,1,0,4
210,CTX_LH_SUPERIORFRONTAL_SIZE_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,1,0,1,1,5
211,CTX_LH_PARAHIPPOCAMPAL_SIZE_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,0,1,0,1,4
212,CTX_RH_SUPRAMARGINAL_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,0,1,0,1,4
213,LEFT_PALLIDUM_SIZE_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,1,0,1,0,4
214,CTX_LH_CAUDALMIDDLEFRONTAL_SIZE_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,0,1,0,1,4
215,CTX_LH_LATERALORBITOFRONTAL_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,0,1,0,1,4
216,LEFT_CEREBRAL_WHITE_MATTER_SIZE_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,1,1,0,1,5
217,CTX_LH_ENTORHINAL_SIZE_UCBERKELEYAV45_10_17_16,PET,1,0,1,1,0,1,0,1,5
218,CTX_RH_LINGUAL_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,1,0,1,0,4
219,CTX_RH_TRANSVERSETEMPORAL_UCBERKELEYAV45_10_17_16,PET,0,1,1,0,1,0,1,0,4
220,LEFT_HIPPOCAMPUS_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,0,1,0,1,4
221,SUMMARYSUVR_COMPOSITE_REFNORM_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,0,1,0,1,4
222,LEFT_CEREBRAL_WHITE_MATTER_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,0,1,0,1,4
223,CTX_LH_PARACENTRAL_UCBERKELEYAV45_10_17_16,PET,1,1,0,1,0,1,0,1,5
224,CTX_RH_LATERALORBITOFRONTAL_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,0,1,1,0,4
225,FRONTAL_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,0,1,1,0,4
226,CTX_RH_INSULA_UCBERKELEYAV45_10_17_16,PET,0,1,1,0,1,0,1,1,5
227,LEFT_VENTRALDC_SIZE_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,1,0,1,0,4
228,CTX_RH_INFERIORTEMPORAL_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,1,0,1,0,4
229,CTX_RH_SUPERIORFRONTAL_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,1,0,1,0,4
230,CTX_LH_LINGUAL_SIZE_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,1,0,1,0,4
231,CC_CENTRAL_UCBERKELEYAV45_10_17_16,PET,0,1,0,1,0,1,1,0,4
232,RIGHT_VENTRALDC_UCBERKELEYAV45_10_17_16,PET,1,0,1,0,1,0,1,1,5
